stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3869,3869,"WB 130 AV @ 48 ST SE fs",,  50.932163,-113.965764,,,0
3870,3870,"114 Ave & 29 St SE wb fs",,  50.952527,-113.997732,,,0
3871,3871,"18 St @ 24 St SE wb fs",,  50.957223,-114.007213,,,0
3872,3872,"Quarry Park BV (Nleg) East of 18 St SE eb midblock",,  50.963278,-114.009032,,,0
3873,3873,"48 ST @ 106 AV SE",,  50.958383,-113.965408,,,0
3874,3874,"Ogden Rd @ 69 Ave SE nb ns",,  50.990918,-114.001582,,,0
3875,3875,"Ogden Rd @ Highfield Rd SE nb fs",,  51.020499,-114.029921,,,0
3876,3876,"11 St @ 26 Ave SE nb fs",,  51.031202,-114.036611,,,0
3877,3877,"SILVERADO SKIES DR @ SILVERADO SKIES LI",,  50.887976,-114.079874,,,0
3878,3878,"SILVERADO SKIES DR @ SILVERADO SKIES MR",,  50.888255,-114.083454,,,0
3879,3879,"6 Ave @ 4 St SE wb fs",,  51.047302,-114.053991,,,0
3880,3880,"WB 4 AV @ 1 St SE ns",,  51.049379,-114.060038,,,0
3881,3881,"4 Ave @ 2 St SW wb ns",,  51.049567,-114.067532,,,0
3882,3882,"5 St @ 7 Ave SW sb fs",,  51.046445,-114.073937,,,0
3883,3883,"9 Ave @ 2 St SW eb",,  51.044682,-114.068940,,,0
3884,3884,"9 Ave @ Centre St SE eb midblk",,  51.044508,-114.062344,,,0
3885,3885,"48 ST @ 106 AV SE",,  50.958206,-113.965149,,,0
3886,3886,"9 Ave @ 6 St SE eb ns",,  51.043998,-114.048536,,,0
3887,3887,"9 Ave @ 8 St SE eb",,  51.043142,-114.041014,,,0
3889,3889,"26 Ave @ 11 St SE eb fs",,  51.030515,-114.035799,,,0
3890,3890,"Ogden Rd @ Highfield Rd SE sb ns",,  51.020102,-114.030232,,,0
3891,3891,"Ogden Rd @ 69 Ave SE sb fs",,  50.990717,-114.001794,,,0
3892,3892,"104 AV @ 46 ST SE",,  50.960518,-113.969314,,,0
3893,3893,"18 St @ Quarry Park BV (Nleg) sb fs",,  50.962597,-114.011924,,,0
3894,3894,"18 St @ 24 St SE eb ns",,  50.956307,-114.001305,,,0
3895,3895,"114 Ave & 29 St SE eb ns",,  50.951632,-113.996850,,,0
3896,3896,"EB 130 AV @ 48 ST SE",,  50.931802,-113.964023,,,0
3897,3897,"52 St @ Prestwick Gate SE sb ns",,  50.926188,-113.958425,,,0
3898,3898,"104 AV @ 46 ST SE",,  50.960350,-113.969439,,,0
